,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
45,rDMptJYWtnMhpQu_rRXHng,"""McDonald's""","""719 E Thunderbird Rd""",Phoenix,AZ,85022,33.6070702,-112.0643825,1.0,10,1,Fast Food;Burgers;Restaurants
46,1WBkAuQg81kokZIPMpn9Zg,"""Charr An American Burger Bar""","""777 E Thunderbird Rd, Ste 107""",Phoenix,AZ,85022,33.60731,-112.063404,3.0,232,1,Burgers;Restaurants
72,iPa__LOhse-hobC2Xmp-Kw,"""McDonald's""","""1635 E Camelback Rd""",Phoenix,AZ,85016,33.508764899999996,-112.04624,3.0,34,1,Restaurants;Burgers;Fast Food
80,kKx8iCJkomVQBdWHnmmOiA,"""Little Caesars Pizza""","""10720 E Southern Ave""",Mesa,AZ,85209,33.3948766,-111.60019380000001,2.5,4,1,Restaurants;Pizza
88,YhV93k9uiMdr3FlV4FHjwA,"""Caviness Studio""","""""",Phoenix,AZ,85001,33.4499672,-112.07022250000001,5.0,4,1,Marketing;Men's Clothing;Restaurants;Graphic Design;Women's Clothing;Screen Printing;Advertising;Pizza;Shopping;Web Design;Fashion;Local Services;Screen Printing/T-Shirt Printing;Professional Services
101,VdlPZg2NAu8t8GkdbPLecg,"""Tandoori Times Indian Bistro""","""8140 N Hayden Rd, Ste H115""",Scottsdale,AZ,85258,33.5552118623,-111.900456296,3.5,263,1,Restaurants;Gluten-Free;Indian;Seafood
107,QkG3KUXwqZBW18A9k1xqCA,"""Red Lobster""","""2810 North 75th Ave""",Phoenix,AZ,85035,33.4787353,-112.2213794,2.5,37,1,American (Traditional);Restaurants;Seafood
120,5XejqzaFmtkZMstJS5Iy-w,"""D'Lish Cafe""","""503 W Thomas Rd""",Phoenix,AZ,85013,33.480301399999995,-112.0805864,4.0,37,0,Vegan;American (New);Restaurants;Sandwiches;Salad;Wraps;Food
130,MTH-AcNyWfsBa9sXp04HcQ,"""Firehouse Subs""","""3420 E Baseline Rd, Ste 101""",Mesa,AZ,85204,33.3796209,-111.7571603,3.5,82,1,Food;Delis;Fast Food;Sandwiches;Restaurants
132,nigYwB_m1TQ1WosjSWi-Hw,"""Simply Burgers""","""1455 W Elliot Rd""",Gilbert,AZ,85233,33.3496582,-111.8212381,3.0,5,0,Burgers;Restaurants
180,2v-8QQfMLX2PCz-0S6gISQ,"""Papa John's Pizza""","""3441 W Northern Ave""",Phoenix,AZ,85051,33.552869500199996,-112.133711849,2.5,7,1,Pizza;Restaurants;Fast Food
191,M3uV9Y3EDSpy9d4YwyNSAQ,"""Yakiramen""","""10605 N 43rd Ave""",Phoenix,AZ,85029,33.5823628,-112.1498845,4.0,66,1,Nightlife;Japanese;Music Venues;Ramen;Arts & Entertainment;Restaurants;Bars
220,Qv0OEziLJwyAqcgtrTsA4w,"""Luke's Of Chicago""","""15223 N Northsight Blvd""",Scottsdale,AZ,85260,33.6228299458,-111.892189979,3.5,50,0,Italian;Restaurants;Sandwiches;Hot Dogs
253,6PwKC0dqP9uI85FEP86iPQ,"""Red Viet Cuisine - Sushi""","""5221 S Power Rd, Ste 104""",MESA,AZ,85212,33.3210685814,-111.68517183200001,3.5,164,0,Sushi Bars;Restaurants;Japanese;Asian Fusion;Vietnamese
271,U1ZVgF-kfkvv_rcoe0RglQ,"""Pho Noodles""","""3417 N 7th Ave""",Phoenix,AZ,85013,33.4887595,-112.08240184200001,4.5,172,1,Restaurants;Noodles;Vietnamese
272,FfI9FOaQqzUxixw6_glt3Q,"""Affinito's Bistro""","""3655 W Anthem Way, Ste C-137""",Phoenix,AZ,85086,33.8649643,-112.1388202,3.0,6,0,Restaurants;Italian
273,3b4efqz06QrLQ_w2xLc4pA,"""Olive Garden Italian Restaurant""","""10223 N Metro Parkway E""",Phoenix,AZ,85051,33.5803023,-112.1196529,3.0,40,0,Restaurants;Italian
282,RAUI7uwpMP6dlcHXkavwHg,"""Smashburger""","""5215 W Baseline Rd""",Laveen,AZ,85339,33.3764804463,-112.171588953,3.0,23,1,Burgers;Restaurants
288,irYAkavSVtIEyGOsHK-yPw,"""Palette""","""1625 N Central Ave""",Phoenix,AZ,85004,33.4667324,-112.0727233,3.5,43,1,Event Planning & Services;American (New);Sandwiches;Salad;Caterers;Restaurants
307,mFE7N0p3f_7vcMTUy76ifw,"""Village Inn""","""2780 E Germann Rd""",Chandler,AZ,85248,33.279239600000004,-111.79284109999999,3.5,49,1,American (Traditional);Breakfast & Brunch;Salad;Burgers;Restaurants
318,9zSRAOUIM3I2ZnY9xwvioQ,"""Sandstone Cafe""","""4959 W Ray Rd""",Chandler,AZ,85226,33.3183691,-111.9276449,3.0,10,0,Restaurants;American (Traditional)
335,_eKvk2GoGKb3CoYolHgRlg,"""Fresko A Mediterranean Kitchen""","""5033 E Elliot Rd""",Phoenix,AZ,85044,33.347893,-111.97682179999998,4.5,88,1,Greek;Vegetarian;Sandwiches;Mediterranean;Restaurants
339,SAae44V24aD7y_HpgxjhPA,"""Nando's Mexican Cafe""","""6715 E McDowell Rd""",Mesa,AZ,85215,33.4658931,-111.68582659999998,3.5,192,1,Restaurants;Mexican
